,,
,,
工事番号：　S6313,,
本体区分：　(1)本体,,
区画,大組,中組
　,ブロック,ブロック
AP,AP1,AP1
,DAP,AP3P
,,DAP
,DAS,AP3S
,,DAS
,SGF,AP2
,,SGF
,,T9
　　区画計　　　,,
AS,2D1P,2D1P
,,AS1P
,,P2D1P
,2D1S,2D1S
,,AS1S
,,P2D1S
　　区画計　　　,,
BRI,2D2P,2D2P
,2D2S,2D2S
,2D3P,2D3P
,2D3S,2D3S
,3D1P,3D1P
,3D1S,3D1S
,3D2P,3D2P
,3D2S,3D2S
,3DC1,3DC1
,4D1,4D1
,4D2P,4D2P
,4D2S,4D2S
,5DP,5DP
,5DS,5DS
,6D,6D
　　区画計　　　,,
ENG1,4E2P,4E2P
,,B2FP
,4E2S,4E2S
,,B2FS
,B1,B1
,,N1
,B1AP,B1AP
,B1AS,B1AS
,B2,B2
,,N2
,B2AP,B2AP
,B2AS,B2AS
　　区画計　　　,,
ENG2,2E1P,2E1P
,,HB1P
,,LB1P
,2E1S,2E1S
,,HB1S
,,LB1S
,2E2P,2E2P
,,HB2P
,,LB2P
,2E2S,2E2S
,,HB2S
,,LB2S
,2EC1,2EC1
,3E1,3E1
,,HA1
,3E2P,3E2P
,,HA2FP
,,HA2P
,3E2S,3E2S
,,HA2FS
,,HA2S
,D1P,D1P
,,H1P
,,PD1P
,D1S,D1S
,,H1S
,,PD1S
,D2P,D2P
,,H2P
,D2S,D2S
,,H2S
,DC1,DC1
,,PDC1
　　区画計　　　,,
FS,BC,BC
,BWFP,BWFP
,BWFS,BWFS
,FDP,BMSP
,,FDP
,,FSFP
,,FSP
,,PFDP
,FDS,BMSS
,,FDS
,,FSFS
,,FSS
,,PFDS
　　区画計　　　,,
HC,DR1P,DR1P
,DR1S,DR1S
,DR2,DR2
,DR2A,DR2A
,DR3,DR3
,DR4,DR4
,DR5,DR5
,DR5A,DR5A
,MRC,MRC
,,PMRC
,MRCA,MRCA
,MRP,MRP
,,PMRP
,MRS,MRS
,,PMRS
,VS1,VS1
,VS2,VS2
,VS3,VS3
,VS4,VS4
　　区画計　　　,,
HLD1,B3P,B3P
,,N3P
,,PB3P
,,PN3P
,B3S,B3S
,,N3S
,,PB3S
,,PN3S
,B4P,B4P
,,BB4P
,,N4P
,,PB4P
,,PN4P
,B4S,B4S
,,BB4S
,,N4S
,,PB4S
,,PN4S
,B5P,B5P
,,BB5P
,,N5P
,,PB5P
,,PN5P
,B5S,B5S
,,BB5S
,,N5S
,,PB5S
,,PN5S
,B6P,B6P
,,BB6P
,,N6P
,,PB6P
,,PN6P
,B6S,B6S
,,BB6S
,,N6S
,,PB6S
,,PN6S
,B7P,B7P
,,BB7P
,,N7P
,,PB7P
,,PN7P
,B7S,B7S
,,BB7S
,,N7S
,,PB7S
,,PN7S
,B8P,B8P
,,N8P
,,PB8P
,,PN8P
,B8S,B8S
,,N8S
,,PB8S
,,PN8S
,B9P,B9P
,,N9P
,,PB9P
,B9S,B9S
,,N9S
　　区画計　　　,,
HLD2,DC3P,DC3P
,,PDC3P
,DC3S,DC3S
,,PDC3S
,DC4P,DC4P
,,PDC4P
,DC4S,DC4S
,,PDC4S
,DC5P,DC5P
,,PDC5P
,DC5S,DC5S
,,PDC5S
,H3P,H3P
,,PH3P
,,YPH3P
,H3S,H3S
,,PH3S
,,YPH3S
,H4P,H4P
,,PH4P
,,YPH4P
,H4S,H4S
,,PH4S
,,YPH4S
,H5P,H5P
,,PH5P
,,YPH5P
,H5S,H5S
,,PH5S
,,YPH5S
,LC3,LC3
,,LC3F
,,PLC3
,,YPLC3
,LC4,LC4
,,PLC4
,,YPLC4
,LC5,LC5
,,LC5A
,,PLC5
,,YPLC5
,MT3,MT3
,MT3F,MT3F
,MT4A,MT4A
,MT4F,MT4F
,MT5,MT5
,MT5A,MT5A
,SL3P,PSL3P
,,SL3P
,SL3S,PSL3S
,,SL3S
,SL4P,PSL4FP
,,PSL4P
,,SL4FP
,,SL4P
,SL4S,PSL4FS
,,PSL4S
,,SL4FS
,,SL4S
,SL5P,PSL5P
,,SL5P
,SL5S,PSL5S
,,SL5S
,TC74P,PTC74P
,,TC74P
,,YPTC74P
,TC74S,PTC74S
,,TC74S
,,YPTC74S
,VC58A,VC58A
,VC58B,VC58B
,VC87A,VC87A
,VC87B,VC87B
　　区画計　　　,,
HLD3,2KC6,2KC6
,,P2KC6
,3KC6,3KC6
,4KC6,4KC6
,DC6,DC6
,,PDC6
,DCSL6,DCSL6
,H6P,H6P
,,L6P
,,PH6P
,,PL6P
,,YPH6P
,H6S,H6S
,,L6S
,,PH6S
,,PL6S
,,YPH6S
,LC6,LC6
,,PLC6
,,YPLC6
,MT6,MT6
,SL6P,PSL6P
,,SL6P
,SL6S,PSL6S
,,SL6S
　　区画計　　　,,
HLD4,DC7P,DC7P
,,PDC7P
,DC7S,DC7S
,,PDC7S
,DC8P,DC8P
,,PDC8P
,DC8S,DC8S
,,PDC8S
,DC9P,DC9P
,,PDC9P
,DC9S,DC9S
,,PDC9S
,H7P,H7P
,,PH7P
,,YPH7P
,H7S,H7S
,,PH7S
,,YPH7S
,H8P,H8P
,H8S,H8S
,H9P,H9P
,H9S,H9S
,LC7,LC7
,,PLC7
,,YPLC7
,LC7A,LC7A
,LC8,LC8
,,PLC8
,,YPLC8
,LC9,LC9
,,PLC9
,,YPLC9
,MT7,MT7
,MT7A,MT7A
,MT8,MT8
,MT9,MT9
,SL7P,PSL7FP
,,PSL7P
,,SL7FP
,,SL7P
,SL7S,PSL7FS
,,PSL7S
,,SL7FS
,,SL7S
,SL8P,PSL8P
,,SL8P
,SL8S,PSL8S
,,SL8S
,SL9P,PSL9P
,,SL9P
,SL9S,PSL9S
,,SL9S
,TC142P,PTC142P
,,TC142P
,,YPTC142P
,TC142S,PTC142S
,,TC142S
,,YPTC142S
,VC126A,VC126A
,VC126B,VC126B
,VC155A,VC155A
,VC155B,VC155B
　　区画計　　　,,
HR,1PT,1PT
,,HR3
,2PT,2PT
,,HR2
,D10,D10
,,HR4
,,HR4F
,,T185B
,HR1,HR1
,,N10
,T185A,BR1
,,BR2
,,T185A
,T189,T189
　　区画計　　　,,
本体区分計　　　　,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
